Metrics,Ensemble_Model,Hybrid_Model
r2_score,0.7486354449774403,0.9998458929441395
mae,3.427253457950609,0.1596700577125475
htpa,0.8150955494234975,0.999679402773166
hras,0.933521875035781,0.9964505307029095
